chr,start,end,value1,value2
chr9,8928039,18587863,0.406,-0.092
chr9,18799040,22560118,0.044,0.327
chr9,24585562,26701376,0.735,-0.125
chr9,28178492,29124610,0.348,-0.086
chr9,32450914,36537970,0.448,0.525
chr9,41606740,43221290,-0.529,-0.091
chr9,56438286,86263428,-0.834,-0.191
chr9,86366867,91328557,0.74,-0.004
chr9,93220802,109905307,0.167,-0.272
chr9,114619604,118440335,0.366,-0.509
chr9,119940749,124513102,-0.554,0.874
chr9,131023415,134739658,-0.039,0
chr9,137009591,138537271,0.191,0.295
chr10,4574512,6219111,-0.607,0.08
chr10,22089227,29769814,-0.444,0.769
chr10,30261082,39153937,0.191,-0.258
chr10,45032131,51365871,0.572,-0.463
chr10,52399678,57950408,0.408,0.675
chr10,61217343,75399264,-0.433,0.165
chr10,76994050,78292207,-0.006,-0.242
chr10,79028247,83166607,-0.16,1.059
chr10,86060755,90459535,-0.92,-1.008
chr10,100100124,100452376,-0.319,0.133
chr10,109189198,109363593,0.044,0.742
chr10,119516708,129724648,1.01,-0.604
chr10,132974504,133276515,0.043,-0.998
chr11,1451202,3662589,0.077,-0.433
chr11,7832306,15255114,0.209,0.965
chr11,17841338,21683588,0.658,-0.426
chr11,22490409,29164075,0.233,0.427
chr11,30434165,35534942,0.121,-0.534
chr11,39644029,39957967,0.457,0.502
chr11,49343950,51978648,-0.161,-0.339
chr11,52696697,53152635,0.138,0.405
chr11,54542488,60160992,0.4,-0.134
chr11,60168774,66636440,0.004,0.926
chr11,70729032,88048915,0.811,-1.406
chr11,115253511,118702844,-1.02,-0.105
chr11,121389471,121706613,0.339,0.207
chr12,5188430,8314231,0.165,0.163
chr12,13543061,31789446,-0.444,0.185
chr12,33514620,41284848,-0.645,0.442
chr12,42060850,42250957,-0.041,-0.329
chr12,43141333,44201064,-0.502,0.218
chr12,54408599,66081450,0.259,-0.576
chr12,67755744,72991683,0.409,0.299
chr12,73664703,76145321,0.484,0.392
chr12,78174778,98888482,-0.59,-0.261
chr12,108535579,110260446,0.013,-0.225
chr12,121394516,123610488,-0.164,0.729
chr12,126450408,130009911,0.4,-0.238
chr12,130889633,132876170,-0.527,-0.266
chr13,2663548,5949240,-0.26,-0.348
chr13,10254669,11590769,0.35,0.426
chr13,14257237,46028041,0.008,-0.211
chr13,52413457,55001795,0.388,0.416
chr13,56618458,59429288,-0.098,0.399
chr13,61086698,65300598,0.432,0.014
chr13,69138891,69209393,0.019,-0.615
chr13,69440124,71744569,-0.086,0.058
chr13,72320733,78115747,0.355,-0.055
chr13,89424641,102405293,-0.753,0.705
chr13,103535663,105139695,0.129,-0.996
chr14,6042778,6731015,-0.003,0.634
chr14,7181425,8834380,0.083,-0.49
chr14,10762032,17247380,-0.38,0.368
chr14,18007018,31574448,0.259,0.471
chr14,34105897,41055439,-0.873,0.457
chr14,43482717,44782860,0.243,0.865
chr14,46273304,56084672,-0.999,-0.402
chr14,65297587,66357187,0.276,-0.397
chr14,91040253,93474651,-0.404,-0.261
chr14,94823974,95851995,-0.657,0.287
chr14,100988650,104926548,0.141,0.335
chr15,59842,4953506,0.149,-0.087
chr15,5505316,8381433,1,0.657
chr15,19828134,20037091,-0.024,0.659
chr15,22839465,23560355,0.323,-0.255
chr15,33051217,36240818,0.227,-0.549
chr15,40462924,41564681,-0.434,0.314
chr15,44498479,68006736,0.737,-0.284
chr15,68955550,77595007,0.059,0.522
chr15,80352308,93665524,1.182,-0.792
chr15,94898573,98185479,-0.586,-0.323
chr16,3669828,9155431,-0.217,0.155
chr16,10317180,10511135,-0.387,-0.153
chr16,11197487,11306615,0.669,-0.359
chr16,16997332,17012968,-0.055,0.295
chr16,33847327,37875947,0.381,-0.075
chr16,37956008,46125499,-0.617,-0.607
chr16,51052940,65493530,-0.419,-0.304
chr16,66931898,67909549,-0.317,0.145
chr16,73112796,78824116,0.619,0.433
chr17,276795,2943490,0.685,0.629
chr17,6422906,11957511,-0.228,-0.495
chr17,18522381,19620964,0.547,1.631
chr17,20410017,21806777,-0.858,-0.011
chr17,27874367,35901784,0.234,0.359
chr17,37461090,40206383,-0.075,-0.109
chr17,45204098,51114009,0.962,-0.134
chr17,54198072,77882067,0.034,-0.356
chr18,3110516,3512574,-0.935,1.017
chr18,3802268,5999342,0.472,0.2
chr18,17713780,19041035,-0.646,-0.072
chr18,23285985,26920247,-0.12,-0.357
chr18,34147596,35867882,0.273,0.656
chr18,37129573,57916086,-0.045,0.561
chr18,58392887,59204059,0.426,0.391
chr18,65148088,65174508,0.433,0.259
chr19,1780876,6816153,-0.167,0.678
chr19,6860548,9053434,0.176,-0.267
chr19,9693841,11302542,0.251,-0.328
chr19,13690838,26449003,-0.544,-0.582
chr19,27686705,30148404,0.174,0.69
chr19,41299358,53991279,0.546,0.042
chr20,7692669,10365352,-0.382,-0.015
chr20,12407773,12948134,0.33,0.667
chr20,25745021,32811044,0.213,0.327
chr20,36337021,41300165,-0.59,-0.056
chr20,41314303,51104133,-0.461,0.508
chr20,57007909,60460564,0.535,0.155
chr21,1621423,5879067,0.488,0.912
chr21,20518156,28033759,-0.103,-0.679
chr21,33610180,38598965,0.339,-0.243
chr21,41260900,42600006,-0.315,0.429
chr21,44440027,45261618,0.181,-0.112
chr22,350927,2082357,-0.918,-0.266
chr22,12487193,26059733,0.642,1.086
chr22,29786160,31014235,0.338,-0.128
chr22,32942108,38767955,-0.056,0.096
chr22,41328036,50483686,0.425,0.124
chrX,3626515,6053481,0.358,-0.842
chrX,10780621,18033629,-1.154,-0.142
chrX,21088299,21585616,0.674,0.285
chrX,31900261,33082737,-0.01,-0.693
chrX,34394686,46684979,0.002,-0.271
chrX,48333710,49062615,0.199,-0.682
chrX,51472986,54144850,1.04,0.083
chrX,59662563,72375725,1.09,0.465
chrX,74963463,84615524,0.803,0.95
chrX,92519040,109730874,-0.331,0.286
chrX,112279699,112976502,-0.61,-0.18
chrX,114147269,114633575,0.908,-0.568
chrX,117575061,124629034,-0.423,-0.411
chrX,136233902,141712834,-0.367,-0.88
chrX,144877495,150026799,-0.105,-0.181
chrY,3399458,6989962,-0.222,-0.136
chrY,8333821,20008462,0.542,0.272
chrY,20460519,31364209,-0.028,-0.15
chrY,42215407,42646183,0.377,-0.609
chrY,44064475,47736731,-0.236,-1.083
chrY,56677276,58922368,-0.519,-0.024
