chr,start,end,value1,value2
chr4,72040587,72349512,-0.724,0.757
chr4,72648096,86590128,0.563,-0.137
chr4,89015755,105103866,-0.575,0.125
chr4,105371805,105561828,-0.653,-0.035
chr4,109274983,110712957,0.051,-0.576
chr4,120116812,124359622,-0.096,-0.643
chr4,125700398,126254693,0.338,-0.588
chr4,128474202,130308164,-0.062,0.189
chr4,147847398,150330182,0.362,-0.038
chr4,152619349,156392988,0.28,0.758
chr4,168763722,175881927,0.248,-0.452
chr4,179354856,189945664,0.551,-0.998
chr5,3573478,3891065,-0.317,-0.09
chr5,8851009,9730164,-0.122,-0.046
chr5,12718179,12818686,-0.367,-0.382
chr5,14835514,16470788,-0.325,-0.741
chr5,21772831,29244562,-0.232,0.105
chr5,48470829,51166023,-0.042,0.563
chr5,64941641,74390844,0.339,0.446
chr5,77347334,83865106,-0.122,0.263
chr5,100846812,106737405,0.746,0.139
chr5,108856098,113418582,0.507,0.574
chr5,115328453,119019875,0.048,-0.292
chr5,124668223,124790933,0.159,-0.921
chr5,127681173,128765009,0.345,1.017
chr5,129258608,132306707,-0.056,0.254
chr5,136766688,141786929,-0.353,0.667
chr5,150690682,152433963,-0.024,-0.707
chr5,158649075,170065001,0.991,0.381
chr5,172559953,176318575,-0.151,0.273
chr6,1781414,2078289,0.147,0.004
chr6,16902391,22214159,0.311,-0.117
chr6,27987131,28745830,0.555,-0.144
chr6,34316219,39543909,0.518,0.072
chr6,46099076,47681603,-0.624,-0.08
chr6,54498201,60477992,0.43,-0.381
chr6,60796470,62662687,0.358,-0.019
chr6,70561686,73670451,0.134,0.221
chr6,75100681,90876303,0.588,0.251
chr6,91698809,94486830,0.244,-1.578
chr6,95280936,98767323,-0.096,0.416
chr6,102589165,108351301,0.369,-0.146
chr6,115171173,116666175,1.293,0.398
chr6,129714821,130391692,0.063,-0.503
chr6,139549996,151646639,0.132,-0.371
chr6,155732797,155806911,-0.367,-0.029
chr6,156718543,162422353,0.417,0.588
chr7,8443731,9282204,0.081,0.01
chr7,16966196,18211141,0.683,-0.268
chr7,22031219,25596650,-0.544,-0.393
chr7,26835990,29093131,-0.832,0.099
chr7,34852279,36469552,-0.235,0.466
chr7,37271538,40374509,-0.646,1.292
chr7,51956698,52416157,0.424,0.177
chr7,55572906,57345545,0.132,0.275
chr7,58059583,58349230,1.103,0.053
chr7,61996240,84405273,-0.689,-0.354
chr7,98112900,100461799,-0.543,-0.574
chr7,107197630,107666955,0.252,0.189
chr7,118392778,128802566,-0.103,0.108
chr7,135431627,136334926,1.152,0.446
chr7,140810389,145832531,0.548,0.294
chr7,148918652,149212513,-0.033,0.21
chr8,34222,2379482,0.746,-0.338
chr8,3467398,19084781,0.441,-0.683
chr8,21341324,30950252,-0.241,0.153
chr8,33344923,33632054,-0.344,0.152
chr8,48724679,48729766,-0.432,0.092
chr8,60830623,61746807,-0.89,1.24
chr8,65327272,68331321,-0.54,-1.172
chr8,69473190,70840035,-0.086,0.534
chr8,73756882,78504447,0.617,-0.327
chr8,86764223,86904188,-0.132,-0.304
chr8,107203937,109613109,0.229,0.845
chr8,118975320,121945677,0.018,0.723
chr8,122517504,123556566,-0.603,-0.143
chr8,125619455,144676251,0.586,0.932
chr9,3077109,10052463,0.481,-0.649
chr9,12240684,15375783,0.085,0.793
chr9,19360402,21578307,-0.643,-0.646
chr9,21735712,45311191,0.19,0.425
chr9,47885618,59567765,-0.39,0.02
chr9,60675777,70123026,0.133,0.17
chr9,70764025,85136648,0.034,0.452
chr9,87901315,88860407,0.267,0.054
chr9,93895551,96620710,-0.46,-0.248
chr9,97569712,99862682,0.296,0.707
chr9,102521507,105072827,0.425,-0.884
chr9,105805438,114269568,-0.957,-0.737
chr9,122265074,124058205,1.036,-1.042
chr9,128577725,136226037,-0.304,-0.515
chr10,4089001,5767638,0.729,0.482
chr10,6018296,7532928,0.249,0.125
chr10,10240594,29883182,-0.495,-0.903
chr10,30477758,31615742,-0.739,-0.473
chr10,35904064,42768599,-0.506,0.287
chr10,43668649,45705477,0.359,0.453
chr10,50141976,51914654,0.2,-0.149
chr10,59958873,73313971,0.69,0.282
chr10,77273945,82238373,0.446,-0.728
chr10,92938470,92987021,0.344,0.27
chr10,103509105,111052388,0.278,0.709
chr10,115547181,119813456,-0.217,0.002
chr10,134655144,134844655,0.151,-0.323
chr11,2787140,5128686,0.577,0.39
chr11,5396606,8768518,-0.482,0.097
chr11,37785224,41551619,0.224,-1.032
chr11,46825234,49422740,-0.656,-0.5
chr11,52359024,64203732,-0.011,0.268
chr11,67677409,71280216,-0.149,0.27
chr11,71574778,77695761,0.482,-0.822
chr11,81320360,90423195,1.199,0.347
chr11,97562016,98412870,-0.835,1.035
chr11,101270879,103619470,-0.782,-0.221
chr11,106840400,113319529,-0.206,0.172
chr11,114478359,118276196,-0.525,-0.171
chr11,120711274,121420502,-0.473,-0.653
chr12,1603936,15488085,-0.304,-0.152
chr12,24146051,32410743,-0.399,-0.119
chr12,33717436,40355329,-0.425,0.884
chr12,50829484,52612192,-0.625,-0.959
chr12,57261370,63850250,0.064,-0.967
chr12,67012762,67673622,-0.429,-1.11
chr12,67858435,72784981,-0.362,-0.037
chr12,74303102,75910275,-0.364,-0.543
chr12,76646134,81461797,0.192,-1.152
chr12,85983125,89077580,-0.548,0.384
chr12,93485261,99719662,0.138,0.786
chr12,124884811,129475581,-0.597,0.371
chr12,132419054,133495673,0.553,0.352
chr13,2553951,6024825,-0.137,0.453
chr13,21987492,23179505,0.49,-0.323
chr13,23425558,26590546,-0.311,-0.081
chr13,28469434,31088192,0.662,-0.829
chr13,38937131,46585694,0.691,-0.404
chr13,52477857,57289562,0.702,-0.309
chr13,57933022,68450967,0.177,-0.22
chr13,70799811,75763065,0.308,0.106
chr13,78098199,80930206,-0.021,0.403
chr13,91789656,95856624,0.391,-0.216
chr13,98669118,111858379,0.217,1.178
chr14,7762,5231060,-0.595,0.73
chr14,15150573,17107035,-0.729,0.414
chr14,19756242,20568642,-0.314,0.047
chr14,20922509,23197449,0.569,-0.94
chr14,35029155,41703469,0.772,-0.146
chr14,47559804,50622966,-0.389,-0.479
chr14,64641066,68081216,-0.721,0.744
chr14,72371813,77179475,-0.068,0.023
chr14,79450925,82124334,-0.184,0.359
chr14,90822268,93720267,0.833,-0.08
chr14,97695114,106088306,0.085,0.281
chr15,4148958,13776910,-0.45,-0.3
chr15,28447857,28490257,-0.189,-0.243
chr15,34461234,34528345,0.046,-0.424
chr15,35467560,36352925,0.028,1.034
chr15,40933052,48708080,-0.33,-0.427
chr15,60406864,69398550,0.598,-0.534
chr15,72672960,76892634,-0.566,0.715
chr15,77110732,77529474,0.392,0.099
chr15,79772595,84749714,0.589,0.405
chr15,93161715,97918772,0.424,-0.471
chr16,6148345,8969655,0.178,-0.188
chr16,9578712,10323399,0.28,0.096
chr16,14155065,18759663,0.766,-0.209
chr16,23423171,31869340,-0.413,0.106
chr16,38199311,42867277,0.539,0.337
chr16,43294014,49751779,-0.322,-0.068
chr16,56366862,61725656,0.049,-0.131
chr16,61948652,69106747,0.558,0.049
chr16,76344990,89721515,-0.578,-0.036
chr17,4222838,6466023,-0.379,0.185
chr17,7684244,9337659,-0.13,0.806
chr17,15300661,15457341,0.67,-0.324
chr17,25433506,25699050,-0.015,0.15
chr17,29634729,35313172,-0.175,0.697
chr17,43171835,53352840,-0.413,-0.979
chr17,61682729,62049930,0.059,-0.362
chr17,77464775,77950366,-1.275,0.014
chr18,275039,5639903,0.216,0.349
chr18,6810676,17796751,-0.076,-0.497
chr18,19379795,23579350,-0.339,0.374
chr18,26190749,41049391,-0.317,-0.306
chr18,45641793,49242872,-0.338,0.335
chr18,50306488,57694537,0.135,-0.142
chr18,61511272,69594297,0.304,-0.756
chr18,71618130,72591147,-0.276,0.843
chr19,10764067,10866172,0.295,0.513
chr19,18822525,20230510,0.078,0.11
chr19,23839291,26866482,0.112,0.108
chr19,27369348,29584383,0.123,-0.073
chr19,42769216,45848528,-0.374,-0.817
chr19,54104486,58976354,-0.786,0.174
chr20,182996,2745390,0.386,-0.418
chr20,7756113,9538531,1.082,0.521
chr20,13486384,22999848,0.369,0.038
chr20,29140062,35672735,0.347,-0.792
chr20,36052352,37654083,0.343,-0.578
chr20,54433431,55932690,0.271,-0.138
chr21,4835237,8909430,-0.685,-1.297
chr21,11955681,12509698,-0.043,0.329
chr21,12972299,18656510,-0.026,-0.082
chr21,21203767,23667591,-0.014,0.465
chr21,35003850,39051237,0.23,0.178
chr22,2572146,4257302,-0.457,-0.31
chr22,8336574,22390291,-0.048,-1.17
chr22,27222872,28778935,-0.259,-1.002
chr22,31123683,38914559,0.368,0.243
chr22,40048434,48269545,-0.601,0.161
chrX,2354708,7000829,-0.349,0.4
chrX,8536553,10135070,-0.4,0.585
chrX,22157542,22609839,0.127,-0.007
chrX,23779661,31514440,-0.161,0.046
chrX,36417961,37440857,0.408,0.055
chrX,45158950,45805722,-0.132,-0.55
chrX,45936185,62396851,0.296,0.274
chrX,64516909,66393482,0.303,-0.542
chrX,73154984,77742628,0.895,0.01
chrX,84552966,95380525,-0.503,-0.603
chrX,100630986,102703334,0.15,0.431
chrX,110250408,123139055,-1.002,-0.184
chrX,123893896,139717416,0.292,-0.719
chrX,143985139,144237510,-0.017,-0.158
chrX,144417981,150792036,0.4,-0.899
chrY,339247,8015476,-0.192,-0.461
chrY,11028517,14845940,0.491,0.012
chrY,22059691,30181648,-0.349,0.139
chrY,33641433,40053218,0.262,-0.391
chrY,45133890,45736515,0.071,-0.88
chrY,46749441,47011301,-0.036,-0.199
