chr,start,end,value1
chr16,56284912,60483918,f
chr16,60496230,66836376,e
chr16,67071000,70811069,g
chr16,70812274,87926336,a
chr16,88046853,90332907,h
chr17,5129,3904706,a
chr17,4090123,5600058,h
chr17,5618990,9498704,d
chr17,9552741,11251579,c
chr17,12623696,12946769,b
chr17,13001291,24133455,g
chr17,24223757,26145329,b
chr17,26211939,36019725,b
chr17,36169516,37634259,e
chr17,38248214,44536088,d
chr17,44537365,55204990,e
chr17,56886075,69991550,g
chr17,70003470,79780731,d
chr18,95,566229,h
chr18,5734924,24434036,g
chr18,24677019,30754905,f
chr18,31088659,31393439,h
chr18,31697999,39231974,h
chr18,39242379,46904865,g
chr18,47024773,47644848,a
chr18,48590170,54422765,e
chr18,54576802,54847929,a
chr18,54979735,59893606,f
chr18,60015902,66773399,a
chr18,66774330,77025384,g
chr19,41,1177590,a
chr19,1294223,7807367,h
chr19,7932233,13829487,f
chr19,14911430,21824532,d
chr19,22444042,25946135,b
chr19,26264592,41009716,f
chr19,41176962,45089868,d
chr19,45401777,48482085,f
chr19,49475348,52941778,c
chr19,53059759,55358524,c
chr19,55483504,58803808,b
chr20,150,4706747,c
chr20,4801630,8012566,f
chr20,8178986,14019053,d
chr20,14176047,19815533,f
chr20,19825651,34929666,b
chr20,35008129,35968986,f
chr20,36002977,40204442,b
chr20,41058455,42034892,a
chr20,42186755,49996384,g
chr20,50007010,51413993,c
chr20,52350649,62112176,h
chr21,2339,3992436,d
chr21,4084842,11402752,d
chr21,11599609,14678453,e
chr21,14768800,22223161,h
chr21,22325653,29768370,f
chr21,30724863,30915044,h
chr21,31666174,37884766,d
chr21,38908312,41539709,f
chr21,42129073,44821117,c
chr21,44930479,47062233,h
chr22,813,8249640,f
chr22,8255581,17526560,d
chr22,17665220,21443904,c
chr22,22618830,23867985,g
chr22,23993479,33741799,g
chr22,34846132,35204925,d
chr22,35829268,44911327,a
chr22,45311032,46839982,d
chr22,47026457,50407073,h
chr22,51044560,51170469,b
chrX,35,2555580,b
chrX,2639438,7533956,g
chrX,7634594,12367774,g
chrX,12435988,16701376,h
chrX,16825334,29185708,e
chrX,29194983,39949177,h
chrX,40020540,43651509,d
chrX,44253191,44422163,h
chrX,44500319,53338246,a
chrX,53344771,66613712,d
chrX,66831808,68491238,d
chrX,68502923,76538091,f
chrX,77061509,84123536,d
chrX,84447131,84850972,a
chrX,85002831,87236812,a
chrX,88107778,95814861,f
chrX,96546177,104187881,g
chrX,112157235,113562075,h
chrX,113572792,119236366,b
chrX,119342195,124937326,a
chrX,125029098,134361036,f
chrX,134432652,142984755,a
chrY,29,7808197,a
chrY,14874383,15525223,e
chrY,15656416,16544143,c
chrY,16602589,22835112,c
chrY,23005901,30591381,e
chrY,31015463,36847870,a
chrY,36857103,44304707,e
chrY,45472053,46558526,d
chrY,47086079,54258590,e
chrY,55520407,56604621,g
chrY,56777170,59080371,d
