chr,start,end,value1
chr18,6355528,7529537,0.154
chr18,6355528,7529537,-0.346
chr18,8595117,10505507,1.13
chr18,8595117,10505507,-0.63
chr18,16057363,25629488,0.809
chr18,16057363,25629488,-0.309
chr18,31446114,33065540,0.005
chr18,31446114,33065540,-0.495
chr18,34168621,37681876,0.244
chr18,34168621,37681876,-0.256
chr18,41723182,42076079,0.221
chr18,41723182,42076079,-0.279
chr18,46202995,67498623,0.99
chr18,46202995,67498623,-0.49
chr18,69790174,72459644,0.361
chr18,69790174,72459644,-0.139
chr19,964927,2406352,0.351
chr19,964927,2406352,-0.149
chr19,18123160,18961266,0.319
chr19,18123160,18961266,-0.181
chr19,22782239,24782961,0.444
chr19,22782239,24782961,-0.056
chr19,27099092,27559558,0.215
chr19,27099092,27559558,-0.285
chr19,31616575,34713302,0.002
chr19,31616575,34713302,-0.498
chr19,39124194,55788114,0.678
chr19,39124194,55788114,-0.178
chr20,1142735,1780641,0.871
chr20,1142735,1780641,-0.371
chr20,2486633,4159500,0.47
chr20,2486633,4159500,-0.03
chr20,14932935,15511698,0.522
chr20,14932935,15511698,-0.022
chr20,23508552,23991271,0.772
chr20,23508552,23991271,-0.272
chr20,26923015,30337898,0.168
chr20,26923015,30337898,-0.332
chr20,38093245,59272600,0.03
chr20,38093245,59272600,-0.47
chr20,61354884,62778213,0.549
chr20,61354884,62778213,-0.049
chr21,5139750,8068027,0.146
chr21,5139750,8068027,-0.354
chr21,10911287,20377859,0.228
chr21,10911287,20377859,-0.272
chr21,23537626,25230894,0.38
chr21,23537626,25230894,-0.12
chr21,39652345,41528256,0.775
chr21,39652345,41528256,-0.275
chr21,45260680,47358430,0.25
chr21,45260680,47358430,-0.25
chr22,14130337,14430434,0.318
chr22,14130337,14430434,-0.182
chr22,18110242,21010457,0.351
chr22,18110242,21010457,-0.149
chr22,21033071,24727434,0.272
chr22,21033071,24727434,-0.228
chr22,25375647,26580146,0.293
chr22,25375647,26580146,-0.207
chr22,28681574,37984179,0.298
chr22,28681574,37984179,-0.202
chr22,40560000,50220245,0.17
chr22,40560000,50220245,-0.33
chrX,3502875,4332519,0.288
chrX,3502875,4332519,-0.212
chrX,16307602,22058494,0.671
chrX,16307602,22058494,-0.171
chrX,22742053,30474234,0.022
chrX,22742053,30474234,-0.478
chrX,34269539,43465166,0.077
chrX,34269539,43465166,-0.423
chrX,44770955,46895736,0.164
chrX,44770955,46895736,-0.336
chrX,51158683,51586771,0.036
chrX,51158683,51586771,-0.464
chrX,52411969,56428460,0.083
chrX,52411969,56428460,-0.417
chrX,58526808,66372852,1.129
chrX,58526808,66372852,-0.629
chrX,94180293,95213121,0.525
chrX,94180293,95213121,-0.025
chrX,97530174,99028129,0.503
chrX,97530174,99028129,-0.003
chrX,102203047,102533311,0.439
chrX,102203047,102533311,-0.061
chrX,102689639,102717931,0.559
chrX,102689639,102717931,-0.0590000000000001
chrX,109727665,111060645,0.162
chrX,109727665,111060645,-0.338
chrX,112598761,115847528,0.04
chrX,112598761,115847528,-0.46
chrX,136919386,138841566,0.592
chrX,136919386,138841566,-0.092
chrX,145231554,154778985,0.132
chrX,145231554,154778985,-0.368
chrY,9866640,14029540,0.21
chrY,9866640,14029540,-0.29
chrY,22941040,26617741,0.489
chrY,22941040,26617741,-0.011
chrY,28753376,31855235,0.555
chrY,28753376,31855235,-0.055
chrY,36742921,37010285,0.055
chrY,36742921,37010285,-0.445
chrY,37214900,41010792,0.045
chrY,37214900,41010792,-0.455
chrY,51723010,55083518,0.352
chrY,51723010,55083518,-0.148
