chr,start,end,value1,value2
chr9,42667114,51437627,-0.033,-0.324
chr9,52396788,52703591,-0.703,0.672
chr9,56607748,65156438,-0.454,0.206
chr9,67091255,77332156,-0.171,-0.027
chr9,85862286,92271454,0.323,0.237
chr9,99014847,106700045,-0.614,-0.092
chr9,113463244,122031095,-0.051,-0.502
chr9,127746440,130255962,-0.604,-0.569
chr10,8023226,13217886,0.272,-0.801
chr10,26322777,32521307,-0.504,0.272
chr10,35674140,37267864,-0.712,0.404
chr10,41350556,59470865,-0.065,-0.228
chr10,62036755,71566925,0.875,-0.348
chr10,72363606,73685494,-0.872,1.362
chr10,84656887,85720317,0.695,-0.613
chr10,88495482,90701865,-0.166,0.532
chr10,91537398,93080819,1.01,-0.328
chr10,100889789,105462407,0.478,-0.642
chr10,110069116,112212054,-0.172,-0.321
chr10,117093528,134024743,-0.464,-0.239
chr10,134768976,135442334,-0.256,0.133
chr11,1725228,13651163,0.137,0.015
chr11,14781875,15606214,-0.539,0.415
chr11,18524690,22285430,-0.865,0.247
chr11,31534331,36113011,-0.699,-0.123
chr11,39183691,45694888,0.591,-0.255
chr11,47143795,48221580,-0.209,1.182
chr11,65578832,67540305,0.108,-0.907
chr11,71937566,73016793,0.777,0.099
chr11,88445068,88471583,0.171,0.432
chr11,89234810,90012685,0.323,1.002
chr11,99531239,117189257,-0.634,0.033
chr11,117867275,118937362,0.479,0.192
chr11,129319101,134358024,-0.288,0.02
chr12,8819167,10711039,0.179,-0.384
chr12,13770973,15726718,0.263,-0.38
chr12,23430112,34627728,-0.606,0.145
chr12,38640631,43080012,-0.935,-0.235
chr12,47620971,52816470,0.477,-0.754
chr12,53881600,63265983,0.543,0.32
chr12,65261816,72657476,-0.07,0.182
chr12,74954877,75913488,-0.246,0.865
chr12,76385323,84281737,0.594,0.079
chr12,89868467,91039265,0.389,0.072
chr12,100331266,100675868,-0.251,0.259
chr12,106542863,115614017,0.229,0.295
chr12,120027046,129525821,0.629,-0.671
chr13,11206421,11928330,0.335,-0.327
chr13,14905448,16842776,-0.126,0.506
chr13,19636327,24655242,-0.578,0.282
chr13,35325672,37106416,0.618,0.018
chr13,37168573,41586969,-0.367,-0.221
chr13,58556459,70284454,0.042,-0.033
chr13,73770203,81717204,0.566,-0.254
chr13,84004901,86500798,-0.026,-0.253
chr13,87914715,93400409,0.245,-0.277
chr13,97320630,98957702,-0.074,-0.292
chr13,105226627,107313555,-0.162,0.079
chr14,3673603,5083653,-0.746,0.721
chr14,10129796,10591228,0.572,0.308
chr14,18348520,19336383,0.137,-0.612
chr14,21391297,29186405,-0.057,0.475
chr14,29790129,43362402,-0.262,0.245
chr14,46389143,48004323,-0.055,-0.588
chr14,48995814,52086674,0.881,-0.07
chr14,60864238,65089045,0.528,0.479
chr14,65243604,66814628,0.181,-0.6
chr14,70808451,92277044,0.203,-0.049
chr14,94665962,102432067,0.057,-0.519
chr15,2918170,4918178,-0.504,-0.114
chr15,19449862,20885023,0.245,0.015
chr15,35690029,38320874,-0.268,0.581
chr15,41645142,45890254,-0.087,-0.435
chr15,52412228,55116330,-0.843,-0.139
chr15,55431561,57733313,0.496,0.004
chr15,61291660,69621737,0.233,0.248
chr15,72707681,74374684,0.909,-0.247
chr15,82214886,83220415,1.028,-0.309
chr15,83256005,90335426,-0.289,0.044
chr16,3921731,10628029,0.699,0.38
chr16,14206356,20337906,-0.003,0.193
chr16,21041280,23677618,0.116,0.125
chr16,26872190,37741901,-0.951,0.355
chr16,39492701,45387840,-1.103,-0.088
chr16,51420373,62046711,-0.221,-0.153
chr16,63911459,64198747,0.39,0.79
chr16,70385786,77267303,0.642,0.238
chr16,77286045,85817325,-0.369,0.286
chr17,9244824,14234072,-0.225,-0.653
chr17,15892002,17742389,-0.019,0.497
chr17,25156790,26139250,0.312,0.546
chr17,37519808,43235996,-0.006,0.595
chr17,44540141,46488914,0.3,-0.405
chr17,48928775,49273370,0.077,-0.156
chr17,55969997,57458065,0.097,0.272
chr17,70353322,76185666,0.157,-0.276
chr18,1960361,2279166,1.022,0.937
chr18,9073097,11982082,-0.536,0.514
chr18,13568245,16246693,-0.203,0.07
chr18,20599512,35226269,1.366,-0.083
chr18,42301434,42509469,0.002,0.368
chr18,49093330,51675071,-0.04,-0.107
chr18,52314571,56840000,0.052,0.213
chr18,62680965,64495028,-0.613,0.414
chr19,2325439,6516858,-0.205,1.036
chr19,11082140,11952049,-0.416,0.179
chr19,20220230,25839557,-0.496,0.351
chr19,31327846,36324360,0.214,-0.105
chr19,38721436,41530623,-0.062,0.682
chr19,56829497,59001653,-0.203,-0.788
chr20,60384,9726739,0.3,-0.205
chr20,13871804,18440052,0.155,-0.154
chr20,23114557,25933479,0.198,-0.667
chr20,26329749,42725386,0.993,0.415
chr20,45966139,47859506,-0.503,-0.671
chr20,53076280,58406910,0.14,0.069
chr21,587153,4513271,0.101,0.1
chr21,5990882,9147840,1.136,-0.486
chr21,13465836,15716539,0.968,0.043
chr21,29435229,41950782,-0.021,-0.159
chr21,45001832,46558187,0.051,0.677
chr22,11952306,16955267,1.125,-0.458
chr22,25803127,29394062,0.185,0.599
chr22,30143810,35624410,-0.555,-0.779
chr22,38971408,40696103,-0.52,0.08
chr22,42973678,50274927,-0.111,-0.432
chrX,9011299,9144907,0.75,-0.602
chrX,12407659,12788263,0.514,0.31
chrX,16481392,20013791,0.713,-0.504
chrX,26305620,31632643,-0.048,0.234
chrX,32701304,33300764,-0.632,0.5
chrX,35284560,59104870,0.324,-0.175
chrX,64873596,76166701,-0.099,-1.092
chrX,82368948,86582163,-0.563,0.606
chrX,105934328,108147076,0.294,0.182
chrX,110739650,115294899,0.388,1.074
chrX,118586060,119613523,0.151,0.784
chrX,122787224,124681726,0.061,0.221
chrX,132188507,133395282,0.348,0.135
chrX,134088354,135417233,0.484,0.665
chrX,148023472,151181909,-0.045,0.353
chrY,3582142,7587424,0.322,-0.793
chrY,12991299,23519754,-0.908,0.44
chrY,27616500,27712801,0.872,-0.255
chrY,36148162,37066255,0.087,-0.033
chrY,42830147,43605883,0.325,0.258
chrY,47334932,55101238,-0.269,0.535
