chr,start,end,value,color,cex
chr8,136162070,145908568,0.023,b,0.7
chr9,3447589,15287581,0.242,c,0.8
chr9,17237148,26913815,-0.376,c,0.4
chr9,32495352,33603600,0.818,c,1
chr9,39257135,40604775,-0.459,c,0.9
chr9,44259945,46894894,0.219,c,0.3
chr9,58751283,79643513,-0.782,c,0.6
chr9,93113880,111632410,0.138,c,0.4
chr9,134494985,135236201,0.634,c,0.4
chr10,1926735,3875686,-0.351,c,0.5
chr10,15519859,46422168,0.28,c,0.2
chr10,48948152,59020122,0.619,c,0.7
chr10,59631445,61741781,-0.312,c,0.2
chr10,62552443,64019496,-0.145,c,0.8
chr10,66989685,73489769,-0.563,c,0.2
chr10,75248660,87335973,0.921,c,0.9
chr10,94617801,134750150,-0.121,c,1.1
chr11,21213884,23178338,0.026,c,0.5
chr11,23779609,30638208,0.73,c,0.4
chr11,32159854,38232760,0.629,c,0.4
chr11,44068642,45853443,0.666,c,1.1
chr11,46675177,49927480,0.462,c,0.8
chr11,65305372,65418463,-0.21,c,0.7
chr11,96431603,117939332,0.605,c,0.9
chr11,126385397,134871220,0.82,c,0.2
chr12,6831474,7643126,0.586,c,1
chr12,9320939,16762940,0.44,c,0.5
chr12,22847707,25744448,0.153,c,0.3
chr12,27446610,44888571,-0.018,c,0.4
chr12,59737624,61343978,-0.561,c,0.4
chr12,73324435,83848746,-0.695,c,0.5
chr12,101081743,105490581,-0.394,c,0.5
chr12,127794962,128507898,0.584,c,0.7
chr13,12867099,17642188,-0.272,c,1
chr13,20296314,22630794,0.257,c,0.5
chr13,30122231,31850014,-0.686,c,0.7
chr13,47668145,66905569,-0.278,c,0.7
chr13,70429379,70494764,-1.382,c,0.6
chr13,71310144,77327046,-0.614,c,0.8
chr13,93537099,100534669,-0.001,c,0.6
chr14,805816,7823757,-0.062,c,0.9
chr14,25516095,68297537,-1.118,c,0.6
chr14,69257319,80038499,-0.452,c,0.3
chr14,90449245,95539583,0.312,c,0.4
chr14,95980859,96799132,0.105,c,0.9
chr14,99237207,104451625,0.115,c,0.3
chr15,7872548,10350103,-0.421,c,0.8
chr15,18937040,32145767,0.293,d,0.6
chr15,42990779,46353988,-0.36,d,0.2
chr15,49736442,71180914,0.009,d,0.5
chr15,78251136,85684829,-0.145,d,0.2
chr15,91363523,93315716,-0.513,d,0.4
chr16,5556149,16185760,-0.379,d,0.2
chr16,16230174,20647469,-0.811,d,0.7
chr16,22447335,31712361,1.09,d,0.2
chr16,38619336,40504568,0.185,d,1
chr16,46260401,53944075,0.048,d,0.9
chr16,64478279,64850998,0.499,d,0.9
chr17,3493661,6809857,-0.032,d,0.9
chr17,37924010,41527747,0.488,d,0.5
chr17,49910825,50863022,0.1,d,0.8
chr17,62424212,64213953,0.306,d,0.5
chr17,72031756,72654014,0.168,d,0.7
chr18,12496549,12851988,0.049,d,0.9
chr18,30413064,32863712,-0.151,d,0.5
chr18,34878524,41029220,0.264,d,0.9
chr18,46728441,55989743,0.191,d,0.4
chr18,67363158,77910206,-0.232,d,0.8
chr19,3574078,17756049,-0.563,d,0.4
chr19,17802758,19604700,0.841,d,0.9
chr19,24091811,42195893,-0.791,d,0.7
chr19,46770448,57073503,-1.058,d,0.8
chr20,3448007,3718217,0.308,d,0.6
chr20,5640372,20167980,0.072,d,0.5
chr20,40893328,44223307,-1.07,d,0.8
chr20,52723318,57667127,0.247,d,0.9
chr21,639063,4530954,-0.099,d,0.9
chr21,21843408,26259438,-0.812,d,0.9
chr21,31350599,38784308,-0.367,d,0.5
chr22,10915309,10960480,-0.471,d,0.4
chr22,13019957,14804297,0.492,d,0.2
chr22,36391838,48957194,-0.079,d,1
chrX,1465940,5528946,-0.305,d,0.6
chrX,17810226,36190210,-0.368,d,0.2
chrX,39155597,44373052,0.292,d,0.8
chrX,54496019,56836023,0.111,d,0.4
chrX,62641776,105475556,-0.329,d,1
chrX,116826739,117855547,-0.343,d,0.9
chrX,122725093,125685385,-0.119,d,0.8
chrX,142397762,150914105,-0.314,d,0.6
chrX,151506310,152559557,-0.094,d,0.5
chrY,1328672,9655021,-0.708,d,0.3
chrY,10440719,42569195,0.079,d,0.6
chrY,48564458,48770305,0.208,d,0.3
chrY,50570091,52373385,0.231,d,0.4
